Имя,Тип,Артикул,Опубликован,Видимость в каталоге,Наличие,Категории,Название атрибута 4,Значения атрибутов 4,Название атрибута 12,Значения атрибутов 12,Название атрибута 23,Значения атрибутов 23,Название атрибута 3,Значения атрибутов 3,Название атрибута 1,Значения атрибутов 1,Название атрибута 2,Значения атрибутов 2,Название атрибута 5,Значения атрибутов 5,Название атрибута 6,Значения атрибутов 6,Название атрибута 7,Значения атрибутов 7,Название атрибута 9,Значения атрибутов 9,Название атрибута 10,Значения атрибутов 10,Название атрибута 11,Значения атрибутов 11,Название атрибута 13,Значения атрибутов 13,Название атрибута 14,Значения атрибутов 14,Название атрибута 15,Значения атрибутов 15,Название атрибута 16,Значения атрибутов 16,Название атрибута 17,Значения атрибутов 17,Название атрибута 18,Значения атрибутов 18,Название атрибута 19,Значения атрибутов 19,Название атрибута 20,Значения атрибутов 20,Название атрибута 21,Значения атрибутов 21,Название атрибута 22,Значения атрибутов 22,Название атрибута 24,Значения атрибутов 24,Название атрибута 25,Значения атрибутов 25,Название атрибута 26,Значения атрибутов 26
LGMG AR20J,simple,48,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"21,58 м",Тип двигателя,Дизельный,Вес,9850 кг,Аккумуляторы,,Бренд,LGMG,Внешний радиус поворота,3.9 м,Внутренний радиус поворота,1.9 м,Вращение,360°,Горизонтальный вылет,12.37 м,Высота техники,2.46 м,Высота подъема платформы,"19,58 м",Объем бака гидравлической жидкости,100 л,Грузоподъемность,260 кг,Двигатель,"Kubota V2403 26 кВт/48,2 л.с.",Длина,"9,42 м",Дорожный просвет,0.40 м,Колесная база,"2,51 м",Преодолеваемый подъем,45%,Габариты платформы,2.44 х 0.90 м,Скорость,5 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,"RT foam-filled, 355/55D625",Ширина,"2,5 м"
LGMG SR1023D,simple,50,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,Рабочая высота,12 м,Тип двигателя,Дизельный,Вес,6880 кг,Аккумуляторы,,Бренд,LGMG,Внешний радиус поворота,5.33 м,Внутренний радиус поворота,нет,Вращение,нет,Горизонтальный вылет,нет,Высота техники,2.74 м (перила сложены 2.06 м),Высота подъема платформы,10 м,Объем бака гидравлической жидкости,140 л,Грузоподъемность,1100 кг,Двигатель,"Deutz D2,9 L4 36,4кВт/48,8л,с,",Длина,"4,9 м",Дорожный просвет,0.23 м,Колесная база,2.85 м,Преодолеваемый подъем,40%,Габариты платформы,3.98/4.81 х 1.83 м,Скорость,нет,Страна,Китай,Объем топливного бака,110 л,Шины,"Solid, 835 х 290 мм",Ширина,"2,3 м"
LGMG SR1623D,simple,51,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"17,9 м",Тип двигателя,Дизельный,Вес,8100 кг,Аккумуляторы,,Бренд,LGMG,Внешний радиус поворота,5.33 м,Внутренний радиус поворота,нет,Вращение,нет,Горизонтальный вылет,нет,Высота техники,3.18 м (перила сложены 2.50 м),Высота подъема платформы,"15,9 м",Объем бака гидравлической жидкости,140 л,Грузоподъемность,680 кг,Двигатель,"Deutz D2,9 L4 36,4кВт",Длина,"4,9 м",Дорожный просвет,0.23 м,Колесная база,2.85 м,Преодолеваемый подъем,40%,Габариты платформы,3.98/4.81 х 1.83 м,Скорость,нет,Страна,Китай,Объем топливного бака,110 л,Шины,"Solid, 835 х 290 мм",Ширина,"2,3 м"
"ACMG AC1212LI (ребренд XCMG XG1412AC-LI) ВАЖНО!!!! ВЕРНОЕ НАЗВАНИЕ В СКОБОЧКАХ, НО КАНКУРЕНТЫ ПИШУТ ПОЧЕМУ-ТО ПЕРВОЕ",simple,1,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"13,9 м",Тип двигателя,Электрический,Вес,2950 кг,Аккумуляторы,"Li-ion 25,6 В 230 А·ч",Бренд,ACMG,Внешний радиус поворота,2.3 м,Внутренний радиус поворота,0 м,Вращение,нет,Горизонтальный вылет,нет,Высота техники,2.61 м (перила сложены 2.06 м),Высота подъема платформы,"11,9 м",Объем бака гидравлической жидкости,нет,Грузоподъемность,320 кг,Двигатель,"Li-ion 25,6 В 230 А·ч",Длина,"2,4 м",Дорожный просвет,10 см,Колесная база,1.87 м,Преодолеваемый подъем,25%,Габариты платформы,2.28 х 1.12 м,Скорость,0.8-4.0 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,"381 х 127 мм, Solid, не оставляющие следов",Ширина,"1,15 м"
Aurora AS0808 -> LGMG S0808Е-2/AS0808Е ,simple,2,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"10,1 м",Тип двигателя,Электрический,Вес,2035 кг,Аккумуляторы,4×6 V/240 Ah,Бренд,Aurora,Внешний радиус поворота,2.2 м,Внутренний радиус поворота,нет,Вращение,нет,Горизонтальный вылет,нет,Высота техники,2.32 м (перила сложены 1.95 м),Высота подъема платформы,"8,1 м",Объем бака гидравлической жидкости,11 л,Грузоподъемность,230 кг,Двигатель,24V 130Ah,Длина,"2,45 м",Дорожный просвет,10 см,Колесная база,1.86 м,Преодолеваемый подъем,25%,Габариты платформы,2.26 х 0.83 м,Скорость,нет,Страна,Китай,Объем топливного бака,нет,Шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,Ширина,"0,82 м"
Aurora AS0812LI -> LGMG AS0812Е (AS2646Е),simple,3,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,10 м,Тип двигателя,Электрический,Вес,2460 кг,Аккумуляторы,100-240 V AC,Бренд,Aurora,Внешний радиус поворота,2.3 м,Внутренний радиус поворота,0 м,Вращение,нет,Горизонтальный вылет,нет,Высота техники,2.30 м (перила сложены 1.73 м),Высота подъема платформы,8 м,Объем бака гидравлической жидкости,16 л,Грузоподъемность,450 кг,Двигатель,24V DC 240Ah li-on,Длина,2.4 м,Дорожный просвет,10 см,Колесная база,1.85 м,Преодолеваемый подъем,25%,Габариты платформы,2.26 х 1.12 м,Скорость,0.8-4.0 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,Ширина,"1,15 м"
Aurora AS1012 -> LGMG AS1012Е (AS3246Е),simple,4,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,12 м,Тип двигателя,Электрический,Вес,2820 кг,Аккумуляторы,4×12 V/150 Ah,Бренд,Aurora,Внешний радиус поворота,2.3 м,Внутренний радиус поворота,0 м,Вращение,нет,Горизонтальный вылет,нет,Высота техники,2.43 м (перила сложены 1.86 м),Высота подъема платформы,10 м,Объем бака гидравлической жидкости,23 л,Грузоподъемность,320 кг,Двигатель,24V DC 240Ah,Длина,"2,4 м",Дорожный просвет,10 см,Колесная база,1.85 м,Преодолеваемый подъем,25%,Габариты платформы,2.26 х 1.12 м,Скорость,0.8-4.0 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,цельномонолитные/не оставляюзие следов 380 х 130 мм,Ширина,"1,15 м"
Aurora AS1412 -> LGMG AS1413Е (AS4650Е),simple,5,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"15,8 м",Тип двигателя,Электрический,Вес,3600 кг,Аккумуляторы,4×12 V/150 Ah,Бренд,Aurora,Внешний радиус поворота,2.85 м,Внутренний радиус поворота,0 м,Вращение,нет,Горизонтальный вылет,нет,Высота техники,2.74 м (перила сложены 1.94 м),Высота подъема платформы,"13,8 м",Объем бака гидравлической жидкости,24.5 л,Грузоподъемность,320 кг,Двигатель,24 V 220Ah,Длина,"2,72 м",Дорожный просвет,10.5 см,Колесная база,2.22 м,Преодолеваемый подъем,25%,Габариты платформы,2.64 х 1.12 м,Скорость,,Страна,Китай,Объем топливного бака,нет,Шины,цельномонолитные/не оставлящие следов 380 х 130 мм,Ширина,"1,4 м"
Dingli BA18CRT2,simple,6,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"18,11 м",Тип двигателя,Дизельный,Вес,8200 кг,Аккумуляторы,,Бренд,Dingli,Внешний радиус поворота,4.73 м,Внутренний радиус поворота,3 м,Вращение,"360° непрерывно, люлька 180",Горизонтальный вылет,9.45 м,Высота техники,2.59 м,Высота подъема платформы,"16,11 м",Объем бака гидравлической жидкости,145 л,Грузоподъемность,320 кг,Двигатель,Kubota D1105/18.2 кВт,Длина,"5,47 м",Дорожный просвет,0.31 м,Колесная база,2.40 м,Преодолеваемый подъем,40%,Габариты платформы,1.83 х 0.79 м ,Скорость,1.1-6.0 км/ч,Страна,Китай,Объем топливного бака,115 л,Шины,315/55 D20,Ширина,"2,44 м"
Dingli BA18NE,simple,7,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,18 м,Тип двигателя,Электрический,Вес,7420 кг,Аккумуляторы,48В/300Ач,Бренд,Dingli,Внешний радиус поворота,3.3 м,Внутренний радиус поворота,2.08 м,Вращение,"360°, непрерывное-нет",Горизонтальный вылет,8.3 м,Высота техники,2 м,Высота подъема платформы,16 м,Объем бака гидравлической жидкости,30 л,Грузоподъемность,230 кг,Двигатель,АКБ 48 V/ 300 Ah ,Длина,"7,21 м",Дорожный просвет,0.2 м,Колесная база,2 м,Преодолеваемый подъем,25%,Габариты платформы,1.45 х 0.76 м ,Скорость,6.1 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,17.5 х 6.75 пенонаполненные,Ширина,"1,73 м"
Dingli BA20CRT2,simple,8,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"20,15 м",Тип двигателя,Дизельный,Вес,8450 кг,Аккумуляторы,,Бренд,Dingli,Внешний радиус поворота,4. 73 м,Внутренний радиус поворота,3 м,Вращение,"360°, непрерывно",Горизонтальный вылет,11.13 м,Высота техники,2.59 м,Высота подъема платформы,"18,15 м",Объем бака гидравлической жидкости,145 л,Грузоподъемность,320 кг,Двигатель,Kubota18.2кВт или Perkins 18.4кВт,Длина,"6,41 м",Дорожный просвет,0.31 м,Колесная база,2.40 м,Преодолеваемый подъем,40%,Габариты платформы,1.83 х 0.79 м ,Скорость,6 км/ч,Страна,Китай,Объем топливного бака,115 л,Шины,315/55 D20,Ширина,"2,44 м"
Dingli BA22ERT,simple,9,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"22,21 м",Тип двигателя,Электрический,Вес,10150 кг,Аккумуляторы,24x2В/375Ач,Бренд,Dingli,Внешний радиус поворота,3.92 м,Внутренний радиус поворота,2.15 м,Вращение,"360°, непрерывно",Горизонтальный вылет,13.62 м,Высота техники,2.43 м,Высота подъема платформы,"20,21 м",Объем бака гидравлической жидкости,145 л,Грузоподъемность,230 кг,Двигатель,48V 3.8 kw,Длина,"9,55 м",Дорожный просвет,0.31 м,Колесная база,2.40 м,Преодолеваемый подъем,45%,Габариты платформы,1.83 х 0.79 м ,Скорость,6 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,315/55 D21,Ширина,"2,44 м"
Dingli BA28RT,simple,10,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"28,1 м",Тип двигателя,Дизельный,Вес,18400 кг,Аккумуляторы,,Бренд,Dingli,Внешний радиус поворота,3.22 м,Внутренний радиус поворота,1.87 м,Вращение,"360°, непрерывно",Горизонтальный вылет,19.4 м,Высота техники,2.89 м,Высота подъема платформы,"26,1 м",Объем бака гидравлической жидкости,165 л,Грузоподъемность,250 кг,Двигатель,"Deutz TD2.9 L4 / 55,4 кВт",Длина,12 м,Дорожный просвет,0.41 м,Колесная база,2.8 м,Преодолеваемый подъем,45%,Габариты платформы,2.44 х 0.91 м,Скорость, 6 км/ч,Страна,Китай,Объем топливного бака,135 л,Шины,385/45-28,Ширина,"2,5 м"
Dingli BT26RT,simple,11,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,Рабочая высота,"26,3 м",Тип двигателя,Дизельный,Вес,16090 кг,Аккумуляторы,,Бренд,Dingli,Внешний радиус поворота,3.22 м,Внутренний радиус поворота,1.87 м,Вращение,"360°, непрерывно",Горизонтальный вылет,19.5 м,Высота техники,2.87 м,Высота подъема платформы,"24,3 м",Объем бака гидравлической жидкости,165 л,Грузоподъемность,450 кг,Двигатель,"Deutz D2.9 L4/55,4 кВт",Длина,"10,82 м",Дорожный просвет,0.41 м,Колесная база,2.8 м,Преодолеваемый подъем,45%,Габариты платформы,2.44 х 0.91 м,Скорость, 6 км/ч,Страна,Китай,Объем топливного бака,135 л,Шины,385/45-28,Ширина,"2,5 м"
Dingli BT28RT,simple,12,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,Рабочая высота,"28,6 м",Тип двигателя,Дизельный,Вес,18400 кг,Аккумуляторы,,Бренд,Dingli,Внешний радиус поворота,3.22 м,Внутренний радиус поворота,1.87 м,Вращение,"360°, непрерывно",Горизонтальный вылет,21.9 м,Высота техники,2.87 м,Высота подъема платформы,"26,6 м",Объем бака гидравлической жидкости,165 л,Грузоподъемность,454 кг,Двигатель,"Deutz ТD2.9 L4/55,4 кВт",Длина,"11,66 м",Дорожный просвет,0.41 м,Колесная база,2.8 м,Преодолеваемый подъем,45%,Габариты платформы,2.44 х 0.91 м,Скорость, 6 км/ч,Страна,Китай,Объем топливного бака,135 л,Шины,385/45-29,Ширина,"2,5 м"
Dingli JCPT1418RT,simple,13,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"14,3 м",Тип двигателя,Дизельный,Вес,5050 кг,Аккумуляторы,,Бренд,Dingli,Внешний радиус поворота,4.85 м,Внутренний радиус поворота,2.15 м,Вращение,нет,Горизонтальный вылет,нет,Высота техники,1.97 м,Высота подъема платформы,"12,3 м",Объем бака гидравлической жидкости,71 л,Грузоподъемность,363 кг,Двигатель,"Kubota D1105 18,2 кВт",Длина,"3,84 м",Дорожный просвет,0.24 м,Колесная база,2.29 м,Преодолеваемый подъем,40%,Габариты платформы,2.88 х 1.52 м,Скорость, 5 км/ч,Страна,Китай,Объем топливного бака,47 л,Шины,26 х 12-16.5,Ширина,"1,76 м"
Dingli JCPT1612HA,simple,14,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"15,7 м",Тип двигателя,Электрический,Вес,3240 кг,Аккумуляторы,4x12В/240Ач,Бренд,Dingli,Внешний радиус поворота,2.65 м,Внутренний радиус поворота,0 м,Вращение,нет,Горизонтальный вылет,нет,Высота техники,2.09 м,Высота подъема платформы,"13,7 м",Объем бака гидравлической жидкости,20 л,Грузоподъемность,250 кг,Двигатель,24V / 4.5kW,Длина,"2,84 м",Дорожный просвет,10 см,Колесная база,2.24 м,Преодолеваемый подъем,25%,Габариты платформы,2.64 х 1.12 м,Скорость,3.5 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,381 х 127 мм не оставлящие следов,Ширина,"1,25 м"
Haulotte HA 20 PX,simple,34,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"20,65 м",Тип двигателя,Дизельный,Вес,11710 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,3.9 м,Внутренний радиус поворота,нет,Вращение,360°,Горизонтальный вылет,13.5 м,Высота техники,2.67 м,Высота подъема платформы,"18,65 м",Объем бака гидравлической жидкости,150 л,Грузоподъемность,230 кг,Двигатель,"Diesel Deutz 57,1 hp - 42kW",Длина,"8,93 м",Дорожный просвет,0.42 м,Колесная база,2.8 м,Преодолеваемый подъем,40%,Габариты платформы,1.8 х 0.8 м,Скорость,0.5 - 4.5 км/ч,Страна,Франция,Объем топливного бака,150 л,Шины,385/65-22.5,Ширина,"2,38 м"
Haulotte HA 20 RTJ,simple,35,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"20,6 м",Тип двигателя,Дизельный,Вес,9300 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,4.5 м,Внутренний радиус поворота,нет,Вращение,355°,Горизонтальный вылет,12.2 м,Высота техники,2.51 м,Высота подъема платформы,"18,6 м",Объем бака гидравлической жидкости,150 л,Грузоподъемность,230 кг,Двигатель,"Kubota 49,6 hp - 36.5kW",Длина,"8,8 м",Дорожный просвет,0.38 м,Колесная база,2.45 м,Преодолеваемый подъем,45%,Габариты платформы,1.83 х 0.8 м ,Скорость,0.5 - 5.5 км/ч,Страна,Франция,Объем топливного бака,150 л,Шины,910 х 355 мм,Ширина,"2,42 м"
JLG 4394RT,simple,41,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"13,11м",Тип двигателя,Дизельный,Вес,7100 кг,Аккумуляторы,,Бренд,JLG,Внешний радиус поворота,5.93 м,Внутренний радиус поворота,2.71 м,Вращение,нет,Горизонтальный вылет,нет,Высота техники,2.89 м,Высота подъема платформы,"11,11м",Объем бака гидравлической жидкости,121.42 л,Грузоподъемность,680 кг,Двигатель,"Kubota 24,8 л.с.",Длина,"3,86 м",Дорожный просвет,0.3 м,Колесная база,2.95 м,Преодолеваемый подъем,45%,Габариты платформы,2.18 х 3.81 м,Скорость,6.4 км/ч,Страна,США,Объем топливного бака,113.56 л,Шины,"внедорожные, пенонаполненные",Ширина,"2,39 м"
JLG 800S,simple,43,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,Рабочая высота,"26,38 м",Тип двигателя,Дизельный,Вес,15800 кг,Аккумуляторы,,Бренд,JLG,Внешний радиус поворота,6.02 м,Внутренний радиус поворота,3.8 м,Вращение,"360°, непрерывно",Горизонтальный вылет,21.64 м,Высота техники,2.95 м,Высота подъема платформы,"24,38 м",Объем бака гидравлической жидкости,181.7 л,Грузоподъемность,230 кг,Двигатель,Deutz D2011 L04 w/EGR 46 kW 61.6 hp,Длина,"11,35 м",Дорожный просвет,0.28 м,Колесная база,3.05 м,Преодолеваемый подъем,45%,Габариты платформы,0.91 х 2.44 м,Скорость,5.6 км/ч,Страна,США,Объем топливного бака,117.35 л,Шины,пенонаполненные 15-625,Ширина,"2,49 м"
Manitou 120 AETJ-C,simple,53,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"11,95 м",Тип двигателя,Электрический,Вес,6600 кг,Аккумуляторы,,Бренд,Manitou,Внешний радиус поворота,3.34 м,Внутренний радиус поворота,1.55 м,Вращение,355°,Горизонтальный вылет,7/7.1 м,Высота техники,2.16 м,Высота подъема платформы,"9,95 м",Объем бака гидравлической жидкости,18 л,Грузоподъемность,200 кг,Двигатель,48 V/240 Ah,Длина,"3,74 м",Дорожный просвет,10 см,Колесная база,1.65 м,Преодолеваемый подъем,25%,Габариты платформы,1.20 х 0.92 м,Скорость,0.6-6.0 км/ч,Страна,Франция,Объем топливного бака,нет,Шины,"цельнолитые, не оставлящие следов",Ширина,"1,2 м"
MANITOU 180 ATJ,simple,54,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"18,18 м",Тип двигателя,Дизельный,Вес,7430 кг,Аккумуляторы,,Бренд,Manitou,Внешний радиус поворота,3.75 м,Внутренний радиус поворота,1.38 м,Вращение,350°,Горизонтальный вылет,10.51/10.6 м,Высота техники,2.56 м,Высота подъема платформы,"16,18 м",Объем бака гидравлической жидкости,54 л,Грузоподъемность,230 кг,Двигатель,Дизельный PERKINS 404 C 22,Длина,"5,56 м",Дорожный просвет,40 см,Колесная база,2.2 м,Преодолеваемый подъем,45%,Габариты платформы,1.8 х 0.8 м,Скорость,1.0-5.0 км/ч,Страна,Франция,Объем топливного бака,52 л,Шины,пенонаполненные ,Ширина,"2,32 м"
Sunward SWA16J,simple,55,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,16 м,Тип двигателя,Дизельный,Вес,7500 кг,Аккумуляторы,,Бренд,Sunward,Внешний радиус поворота,4.98 м,Внутренний радиус поворота,2.09 м,Вращение,"360° непрерывно, люлька 160°",Горизонтальный вылет,8.02 м,Высота техники,2.17 м,Высота подъема платформы,14 м,Объем бака гидравлической жидкости,82 л,Грузоподъемность,250 кг,Двигатель,Kubota v2403,Длина,"6,93 м",Дорожный просвет,35 см,Колесная база,2.25 м,Преодолеваемый подъем,45%,Габариты платформы,1.83 х 0.76 м,Скорость,0.8-6.8 км/ч,Страна,Китай,Объем топливного бака,73 л,Шины,"33х12-20, пенонаполненные, вездеходные",Ширина,"2,3 м"
Sunward SWA22JE,simple,56,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"21,6 м",Тип двигателя,Электрический,Вес,9800 кг,Аккумуляторы,48В/390Ач,Бренд,Sunward,Внешний радиус поворота,5.6 м,Внутренний радиус поворота,2.5 м,Вращение,"360° непрерывно, люлька 160°",Горизонтальный вылет,12.1 м,Высота техники,2.58 м ,Высота подъема платформы,"19,6 м",Объем бака гидравлической жидкости,84 л,Грузоподъемность,250 кг,Двигатель,"48 В АC, 390 А*ч ",Длина,"8,92 м",Дорожный просвет,35 см,Колесная база,2.49 м,Преодолеваемый подъем,45%,Габариты платформы,2.40 х 0.91 м,Скорость,1.1-6.1 км/ч,Страна,Китай,Объем топливного бака,нет,Шины,355/55 D625 ,Ширина,"2,49 м"
Sunward SWSL 1614 hd,simple,57,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"15,8 м",Тип двигателя,Электрический,Вес,3500 кг,Аккумуляторы,4×12В/300 А.ч.,Бренд,Sunward,Внешний радиус поворота,2.5 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,,Высота подъема платформы,"13,8 м",Объем бака гидравлической жидкости,,Грузоподъемность,260 кг,Двигатель,,Длина,"2,84 м",Дорожный просвет,,Колесная база,,Преодолеваемый подъем,,Габариты платформы,,Скорость,,Страна,Китай,Объем топливного бака,,Шины,,Ширина,"1,41 м"
Sunward SWSL0807HD,simple,58,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,8 м,Тип двигателя,Электрический,Вес,1530 кг,Аккумуляторы,4X6V/210Ah,Бренд,Sunward,Внешний радиус поворота,1.67 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,,Высота подъема платформы,6 м,Объем бака гидравлической жидкости,,Грузоподъемность,230 кг,Двигатель,,Длина,"1,86 м",Дорожный просвет,,Колесная база,,Преодолеваемый подъем,,Габариты платформы,,Скорость,,Страна,Китай,Объем топливного бака,,Шины,,Ширина,"0,76 м"
Sunward SWSL1008,simple,59,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,10 м,Тип двигателя,Электрический,Вес,2080 кг,Аккумуляторы,4X6V/225Ah,Бренд,Sunward,Внешний радиус поворота,2.1 м,Внутренний радиус поворота,0 м,Вращение,нет,Горизонтальный вылет,нет,Высота техники,,Высота подъема платформы,8 м,Объем бака гидравлической жидкости,,Грузоподъемность,230 кг,Двигатель,,Длина,"2,46 м",Дорожный просвет,,Колесная база,,Преодолеваемый подъем,,Габариты платформы,,Скорость,,Страна,Китай,Объем топливного бака,,Шины,,Ширина,"0,83 м"
Sunward SWSL1212HD,simple,60,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,12 м,Тип двигателя,Электрический,Вес,2940 кг,Аккумуляторы,4X6V/240Ah,Бренд,Sunward,Внешний радиус поворота,2.2 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,,Высота подъема платформы,10 м,Объем бака гидравлической жидкости,,Грузоподъемность,320 кг,Двигатель,,Длина,"2,47 м",Дорожный просвет,,Колесная база,,Преодолеваемый подъем,,Габариты платформы,,Скорость,,Страна,Китай,Объем топливного бака,,Шины,,Ширина,"1,17 м"
Sunward SWSL1412HD,simple,61,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,14 м,Тип двигателя,Электрический,Вес,2980 кг,Аккумуляторы,4X12V/300Ah,Бренд,Sunward,Внешний радиус поворота,2.2 м,Внутренний радиус поворота,,Вращение,,Горизонтальный вылет,,Высота техники,,Высота подъема платформы,12 м,Объем бака гидравлической жидкости,,Грузоподъемность,320 кг,Двигатель,,Длина,"2,47 м",Дорожный просвет,,Колесная база,,Преодолеваемый подъем,,Габариты платформы,,Скорость,,Страна,Китай,Объем топливного бака,,Шины,,Ширина,"1,17 м"
Sunward SWSL1823RT,simple,62,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,Рабочая высота,18 м,Тип двигателя,Дизельный,Вес,8200 кг,Аккумуляторы,,Бренд,Sunward,Внешний радиус поворота,5.8 м,Внутренний радиус поворота,2.75 м,Вращение,нет,Горизонтальный вылет,,Высота техники,,Высота подъема платформы,16 м,Объем бака гидравлической жидкости,,Грузоподъемность,680 кг,Двигатель,,Длина,"4,9 м",Дорожный просвет,,Колесная база,,Преодолеваемый подъем,,Габариты платформы,,Скорость,,Страна,Китай,Объем топливного бака,105 л,Шины,,Ширина,"2,3 м"
Upright AB38,simple,63,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,"13,5 м",Тип двигателя,Электрический,Вес,8200 кг,Аккумуляторы,,Бренд,Upright,Внешний радиус поворота,2.4 м,Внутренний радиус поворота,0.4 м,Вращение,362°,Горизонтальный вылет,6.1 м,Высота техники,2 м,Высота подъема платформы,"11,5 м",Объем бака гидравлической жидкости,25 л,Грузоподъемность,215 кг,Двигатель,"8 х 6 В, 220 A*ч DC",Длина,4 м,Дорожный просвет,15 см,Колесная база,1.99 м,Преодолеваемый подъем,36%,Габариты платформы,0.60 х 1.20 м,Скорость,0.7-4.0 км/ч,Страна,Великобритания,Объем топливного бака,нет,Шины,не оставлящие следов,Ширина,"1,5 м"
Zoomlion ZA14J,simple,64,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"15,8 м",Тип двигателя,Дизельный,Вес,3800 кг,Аккумуляторы,"8 x 6 В, 220 А.ч.",Бренд,Zoomlion,Внешний радиус поворота,4.26 м,Внутренний радиус поворота,1.92 м,Вращение,"360°, непрерывно",Горизонтальный вылет,7.58 м,Высота техники,2.39 м,Высота подъема платформы,"13,8 м",Объем бака гидравлической жидкости,75 л,Грузоподъемность,300 кг,Двигатель,"Kubota v2403, 36.5 кВт",Длина,"6,57 м",Дорожный просвет,40 см,Колесная база,2.06 м,Преодолеваемый подъем,45%,Габариты платформы,1.83 х 0.76 м,Скорость,6.1 км/ч,Страна,Китай,Объем топливного бака,65 л,Шины,"315/55 D20, пенонаполненные",Ширина,"2,3 м"
